@relation seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A7-N1000-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric

@data
-0.025376,0.043647,0.062537,-0.108543,-0.016436,0.057637,-0.016271
0.009622,0.069782,0.086385,-0.115857,-0.031297,0.016645,0.068284
-0.047287,0.08648,-0.029942,-0.010287,-0.012568,0.031718,0.110559
0.044062,0.100439,-0.060258,-0.199279,0.032601,-0.111544,0.02723
0.024869,0.076761,-0.014747,-0.092455,-0.053617,-0.007465,0.062874
-0.036464,0.072936,-0.008532,-0.027473,-0.023656,0.011221,0.07434
-0.063269,0.061365,0.01416,0.015861,-0.004164,0.046914,0.00428
-0.021336,0.055982,-0.050171,-0.094669,-0.010035,-0.029951,0.025206
-0.011155,0.015796,-0.021923,-0.061333,-0.108004,-0.04732,-0.118383
0.00004,0.029941,-0.024427,-0.078149,-0.073298,0.000141,-0.02734
-0.084087,0.053174,0.066135,0.058176,0.034007,0.145414,-0.004577
-0.037899,0.042317,0.044739,-0.049306,-0.05115,0.005939,0.055009
-0.099536,0.019645,-0.030457,-0.090615,0.048892,0.172071,0.064398
-0.067966,0.016064,0.01452,-0.100557,0.019141,0.10103,0.036761
-0.089394,-0.002347,0.03589,-0.084833,0.005738,0.148663,0.060132
-0.059012,0.094999,0.001745,0.015178,0.066029,0.129833,0.116696
-0.053729,0.127381,-0.122503,0.058643,0.076923,0.020331,0.109033
0.01463,0.084347,-0.008786,-0.058,-0.041382,0.003455,0.098664
0.015114,0.138438,0.007142,-0.033189,0.001888,-0.00352,0.177633
-0.023983,0.03794,0.0178,-0.011873,0.055744,-0.02044,0.042983
-0.057339,0.022025,0.069097,-0.081223,0.005574,0.063047,-0.036717
-0.056258,0.036506,0.031673,-0.005446,-0.042599,0.000159,-0.001167
0.02642,0.071514,0.027972,-0.093684,-0.065014,0.00077,0.087824
-0.003744,-0.028929,0.045073,0.016299,-0.084332,-0.11466,0.103683
-0.046614,0.011481,0.097207,-0.175436,-0.006104,0.148499,0.010571
-0.025562,0.013853,0.051618,-0.074219,-0.098297,0.080872,0.041882
-0.061708,-0.008852,0.041598,-0.091209,0.035301,0.091884,0.04298
-0.053288,-0.038561,0.068101,-0.097261,-0.005085,0.063629,0.044773
-0.069007,0.016927,-0.03109,-0.103903,-0.024425,0.049136,0.001519
-0.061778,0.009796,0.033123,-0.067637,0.015737,0.039538,-0.024665
-0.103792,-0.057271,0.0525,-0.036588,-0.138227,0.047634,0.047723
-0.004062,0.076949,0.053455,-0.094737,0.04849,0.05696,-0.024822
-0.005607,0.046579,0.020145,-0.165464,0.062593,-0.035201,-0.126323
-0.076811,-0.007943,0.011086,-0.128468,-0.042817,0.074227,0.00205
-0.026185,0.042117,-0.005487,-0.090232,-0.057425,-0.029689,-0.047199
-0.031364,0.042374,-0.047808,0.012358,-0.088259,0.010182,0.02564
0.039708,0.095934,0.061509,-0.040257,0.003749,-0.039137,-0.042782
0.033491,0.057667,-0.095967,-0.067091,-0.023697,-0.000769,0.010582
-0.067948,0.030254,-0.0404,-0.048377,-0.040265,0.023571,-0.036654
-0.087871,0.095209,-0.08875,0.036966,0.12904,0.108716,0.011446
-0.077151,0.021455,-0.054604,0.025602,-0.086103,-0.048996,0.020651
-0.064607,0.027619,-0.043848,0.00615,-0.09053,-0.072115,0.014164
-0.053461,0.050939,-0.060234,-0.013353,-0.040391,-0.02915,0.106946
-0.064117,0.023479,-0.122557,-0.111007,0.015647,0.033904,-0.132801
-0.006941,0.080938,-0.091583,-0.112285,0.001223,-0.041798,-0.018665
-0.046292,0.030818,0.057476,-0.017394,-0.064593,0.016005,0.083441
-0.014002,0.039911,0.013524,-0.140464,-0.05264,0.029755,0.017981
-0.013193,0.073731,-0.018351,-0.061875,-0.002113,-0.008401,0.007411
-0.037975,0.066181,0.040933,-0.020114,-0.012974,0.042159,0.037833
-0.017427,0.052749,0.064481,-0.047089,-0.044426,-0.025128,-0.03052
-0.031282,0.06714,-0.006934,-0.086223,0.049357,0.019069,-0.036719
-0.059708,0.07956,-0.029575,0.000466,0.103334,0.171058,0.02392
-0.083919,0.038904,0.085518,0.025545,0.012389,0.077975,-0.064367
-0.094556,0.031072,-0.012551,0.046649,-0.047661,0.049653,0.017294
-0.067009,0.000381,0.09244,-0.011278,-0.114039,-0.002915,-0.052364
-0.052461,0.038168,0.095669,0.032688,-0.084387,0.015351,-0.011445
0.074599,0.137619,0.043126,-0.074381,0.055767,-0.122016,0.030229
0.012731,0.102613,0.01412,-0.001165,-0.077161,-0.083149,0.091612
0.011305,0.068234,0.007478,-0.104137,-0.027234,-0.02377,0.003244
0.17868,0.069199,0.207502,-0.256673,0.138678,-0.151076,0.090614
-0.04026,-0.079208,0.012785,-0.03195,-0.009057,0.02681,0.156152
-0.05469,-0.093809,-0.076152,0.012047,-0.080336,-0.047281,0.16286
-0.087545,-0.01577,-0.058579,-0.022262,-0.008364,0.067873,0.138185
-0.065171,0.023563,-0.002133,-0.01169,0.0245,0.014774,-0.007178
-0.03393,-0.017581,0.057277,-0.078994,-0.060625,0.005141,0.10341
-0.037364,0.030904,0.013466,-0.054014,0.000553,0.03235,0.139659
-0.058507,0.001658,0.035377,-0.102274,-0.08496,0.030005,0.000966
-0.029762,0.024756,0.054118,-0.124467,-0.01798,0.003234,-0.030188
-0.077474,0.017395,0.0608,0.027909,-0.118016,0.009559,0.016607
-0.070947,-0.03205,0.103208,0.011592,0.007502,0.068079,0.02246
0.033522,0.04165,0.009547,-0.005975,-0.004078,-0.005817,-0.131828
0.037763,0.108733,0.063848,0.03371,0.052198,-0.03359,-0.118687
0.063286,0.094125,0.017388,0.006328,0.056288,-0.019137,-0.070118
0.152654,-0.002042,-0.141813,-0.057512,-0.046889,-0.086001,-0.015256
-0.026536,0.031015,-0.038015,0.008218,-0.030383,0.026401,-0.09726
0.011273,0.105911,0.095055,0.107028,0.053586,0.028131,-0.065753
-0.024784,0.05475,0.14213,0.153761,-0.025009,0.100119,-0.039312
0.09997,-0.108107,0.01759,0.106735,-0.021131,0.195016,0.014917
-0.010537,-0.059459,-0.066571,0.057743,-0.036571,0.128038,-0.121873
0.032162,0.066386,0.015933,0.081357,-0.054656,-0.02374,0.010145
-0.03605,0.067046,-0.058458,0.116182,0.010962,0.005167,-0.091462
0.145511,0.08901,-0.044833,0.044489,0.097593,-0.015143,0.00948
0.13624,-0.024202,0.013849,0.150135,0.046516,0.138449,0.075458
0.125014,-0.037525,0.047405,0.009035,-0.111799,0.001923,-0.01219
0.136162,-0.013118,0.025494,-0.015319,-0.024485,0.025559,-0.027481
0.032566,-0.010338,-0.042125,0.061108,-0.128663,-0.030131,-0.058731
0.103862,-0.002221,-0.002896,0.099936,-0.129472,-0.042963,0.05039
0.07117,-0.021155,-0.00873,-0.049971,-0.043921,-0.017672,-0.198841
0.16412,-0.134396,-0.132573,-0.04303,0.079272,0.219913,0.042569
0.176886,-0.096552,-0.133653,0.012404,0.027815,0.104558,0.03818
0.107148,-0.104868,0.005264,-0.016546,-0.120114,0.064173,-0.044914
0.084875,-0.00869,-0.090003,-0.008198,-0.058731,-0.007349,-0.023028
0.018171,-0.055756,-0.053583,0.024268,-0.078585,0.117721,-0.014083
0.097605,0.049791,-0.143361,0.011296,0.090593,0.025272,-0.018648
-0.04963,-0.051901,-0.00758,-0.066157,-0.022664,0.127065,-0.272709
-0.003397,0.026651,-0.007135,-0.044351,-0.028933,-0.010166,-0.154418
0.129674,-0.006293,-0.026666,-0.019241,-0.01943,-0.01254,-0.061739
-0.022767,-0.083998,0.038147,0.12171,-0.181981,0.098886,-0.071181
0.001204,0.001719,0.074255,0.113874,-0.105876,0.031998,-0.089711
0.074331,-0.005075,0.035144,0.04241,-0.089971,0.017644,-0.011442
