@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N500-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R1-7

@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric

@data
Kama,-0.013703,0.001851
Kama,-0.015706,-0.073795
Kama,-0.013304,-0.130449
Kama,0.104818,-0.01031
Kama,0.02757,-0.061829
Kama,-0.019067,-0.086748
Kama,-0.038574,-0.035795
Kama,0.024314,-0.019063
Kama,-0.021394,0.13276
Kama,0.006564,0.034741
Kama,-0.054189,-0.05726
Kama,-0.055834,-0.054689
Kama,0.00795,-0.090388
Kama,-0.011204,-0.047867
Kama,-0.041473,-0.073826
Kama,0.007196,-0.172359
Kama,0.051626,-0.15514
Kama,0.01508,-0.105103
Kama,0.019384,-0.202217
Kama,-0.00394,-0.053077
Kama,-0.037321,0.020108
Kama,-0.064619,-0.00695
Kama,0.002451,-0.084981
Kama,-0.095734,-0.055919
Kama,-0.019625,-0.023638
Kama,-0.052851,-0.039874
Kama,-0.021664,-0.047863
Kama,-0.052765,-0.029888
Kama,-0.012226,0.001797
Kama,-0.029721,0.016905
Kama,-0.150635,-0.014831
Kama,0.034252,-0.010379
Kama,0.056,0.119258
Kama,-0.039659,0.007892
Kama,-0.014513,0.053443
Kama,-0.029529,-0.028214
Kama,0.021333,0.015832
Kama,0.08216,-0.012211
Kama,-0.022673,0.031774
Kama,0.055751,-0.078543
Kama,-0.074968,-0.006393
Kama,-0.071596,0.004476
Kama,-0.030146,-0.097986
Kama,0.062965,0.124939
Kama,0.068348,0.017673
Kama,-0.082101,-0.081832
Kama,0.001073,-0.011366
Kama,0.020343,-0.020196
Kama,-0.032851,-0.062452
Kama,-0.043999,0.023003
Kama,0.034595,0.013203
Kama,0.052922,-0.092338
Kama,-0.074188,0.020712
Kama,-0.076734,-0.035511
Kama,-0.128903,0.057854
Kama,-0.111608,-0.004865
Kama,0.066008,-0.048204
Kama,-0.03427,-0.092284
Kama,0.020981,-0.004477
Kama,0.107176,-0.06831
Kama,-0.05575,-0.114938
Kama,-0.076359,-0.094361
Kama,-0.037594,-0.125553
Kama,-0.026968,-0.005184
Kama,-0.071564,-0.073794
Kama,-0.025222,-0.136223
Kama,-0.065731,0.014452
Kama,-0.022189,0.034305
Kama,-0.132173,-0.015648
Kama,-0.094488,-0.030504
Rosa,0.037947,0.106819
Rosa,0.033501,0.06342
Rosa,0.076393,0.027068
Rosa,0.155971,0.05124
Rosa,0.005377,0.076664
Rosa,-0.008384,-0.007105
Rosa,-0.093506,-0.027612
Rosa,0.051698,-0.029207
Rosa,0.024864,0.10449
Rosa,-0.015556,-0.032197
Rosa,0.004449,0.045554
Rosa,0.165639,-0.050858
Rosa,0.094341,-0.114242
Rosa,0.018433,0.031781
Rosa,0.084847,0.027006
Rosa,-0.018973,0.071149
Rosa,-0.005937,-0.034972
Rosa,0.061157,0.201902
Rosa,0.234401,-0.03441
Rosa,0.198957,-0.021669
Rosa,0.031104,0.078132
Rosa,0.082644,0.037275
Rosa,0.017949,0.016486
Rosa,0.185641,-0.009797
Rosa,0.013923,0.250338
Rosa,0.01623,0.142109
Rosa,0.105122,0.065895
Rosa,-0.116146,0.075558
Rosa,-0.081987,0.067185
Rosa,-0.002204,0.01104
Rosa,0.027625,-0.027729
Rosa,-0.012197,-0.07056
Rosa,0.126899,-0.080602
Rosa,0.010423,0.024059
Rosa,0.067548,0.032528
Rosa,0.054122,-0.088416
Rosa,0.050306,0.048026
Rosa,0.000001,0.006593
Rosa,0.056698,0.16071
Rosa,-0.012611,-0.036698
Rosa,0.08929,-0.006482
Rosa,0.113389,-0.036613
Rosa,0.140698,0.016695
Rosa,0.119622,-0.041818
Rosa,0.198572,-0.005811
Rosa,0.031642,0.087904
Rosa,0.170477,-0.0682
Rosa,0.088354,0.039703
Rosa,0.072822,0.006189
Rosa,0.108616,0.058605
Rosa,0.202683,-0.048413
Rosa,-0.060813,-0.063362
Rosa,-0.023722,-0.03281
Rosa,0.040801,-0.04653
Rosa,0.032194,-0.192924
Rosa,0.164268,0.034486
Rosa,-0.007536,-0.005297
Rosa,-0.000025,-0.009882
Rosa,0.022251,-0.030177
Rosa,0.08342,-0.093093
Rosa,0.021187,-0.019348
Rosa,0.099465,-0.014578
Rosa,-0.052292,0.125753
Rosa,-0.01753,0.038421
Rosa,0.018452,0.131748
Rosa,0.005442,-0.033861
Rosa,0.043267,0.126782
Rosa,-0.109632,0.1082
Rosa,-0.072571,0.063547
Rosa,-0.003317,0.118757
Canadian,-0.024275,0.069315
Canadian,0.034674,0.114539
Canadian,-0.012259,0.008107
Canadian,-0.005379,0.041437
Canadian,-0.039054,0.03021
Canadian,0.010706,0.074539
Canadian,-0.1179,-0.008253
Canadian,-0.033803,-0.024488
Canadian,-0.104652,0.031564
Canadian,0.058234,0.129517
Canadian,-0.040602,0.069093
Canadian,-0.000912,0.051957
Canadian,-0.054662,0.07369
Canadian,-0.045086,0.010525
Canadian,-0.06001,0.046061
Canadian,-0.025371,0.047652
Canadian,-0.032203,-0.002577
Canadian,-0.052949,0.00038
Canadian,-0.068252,0.074293
Canadian,-0.061996,0.056449
Canadian,-0.099999,0.109582
Canadian,-0.096972,0.067407
Canadian,-0.024212,-0.018718
Canadian,-0.01863,0.033146
Canadian,-0.004851,-0.026341
Canadian,-0.121552,-0.032637
Canadian,-0.053824,0.017048
Canadian,-0.075786,0.103335
Canadian,-0.105846,-0.034583
Canadian,-0.087829,-0.036492
Canadian,0.081627,0.11643
Canadian,0.057081,-0.008321
Canadian,-0.037763,-0.03308
Canadian,-0.021818,-0.018569
Canadian,0.033594,0.096514
Canadian,0.028752,0.044352
Canadian,-0.037795,0.001283
Canadian,-0.024554,0.005403
Canadian,-0.039316,-0.028373
Canadian,-0.065683,0.069774
Canadian,-0.057321,-0.083022
Canadian,-0.004,0.023709
Canadian,-0.041742,0.007549
Canadian,-0.042559,-0.008107
Canadian,0.048745,0.115051
Canadian,-0.068448,0.045449
Canadian,-0.062716,0.079035
Canadian,-0.054001,-0.032684
Canadian,0.042714,-0.006048
Canadian,0.022213,-0.036438
Canadian,-0.016881,-0.019049
Canadian,-0.03859,-0.000836
Canadian,-0.051178,0.04001
Canadian,-0.030969,0.025428
Canadian,0.018191,0.034664
Canadian,0.021404,-0.054458
Canadian,-0.011413,-0.057293
Canadian,-0.034908,-0.034092
Canadian,-0.074879,0.040566
Canadian,-0.025316,-0.081193
Canadian,0.018691,-0.013655
Canadian,-0.056528,-0.139594
Canadian,-0.049036,-0.056969
Canadian,0.059716,-0.041403
Canadian,-0.0275,-0.04131
Canadian,-0.039254,-0.051738
Canadian,-0.012803,0.024641
Canadian,0.13437,-0.005858
Canadian,-0.07427,-0.02905
Canadian,0.003674,0.009628
