@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A4-N500-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R1-7

@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric

@data
Kama,-0.000451,0.07442,0.0148,-0.006466
Kama,-0.040399,0.093388,0.079219,0.011803
Kama,-0.033213,0.04129,0.072978,-0.071405
Kama,0.139981,0.012242,0.122973,0.078777
Kama,0.028188,0.085296,0.061287,-0.002984
Kama,-0.022783,0.037549,0.048314,-0.045658
Kama,-0.041681,0.016312,-0.017911,-0.042143
Kama,0.06862,0.016249,0.048904,-0.016906
Kama,0.087477,0.027279,-0.11919,0.010056
Kama,0.062099,0.061554,-0.025081,-0.014181
Kama,-0.108213,0.036524,-0.028594,-0.060227
Kama,-0.04101,0.046869,0.027564,-0.040139
Kama,0.016457,0.068226,0.092041,-0.136302
Kama,0.007689,0.056318,0.064493,-0.07885
Kama,-0.029533,0.07781,0.065484,-0.12086
Kama,-0.081177,0.053439,0.101774,-0.076
Kama,-0.001698,-0.028485,0.089113,-0.057895
Kama,-0.009769,0.078731,0.07858,-0.018206
Kama,-0.068284,0.070713,0.147797,-0.008865
Kama,-0.028158,-0.032677,0.058792,0.009116
Kama,-0.013522,0.037121,-0.005955,-0.020425
Kama,-0.034706,0.010414,-0.030829,-0.034468
Kama,-0.01221,0.101741,0.073993,-0.005826
Kama,-0.068422,-0.024281,0.03054,-0.023601
Kama,-0.007697,0.128718,0.062434,-0.055611
Kama,-0.030466,0.120155,0.006911,-0.072908
Kama,-0.01418,0.038644,0.074041,-0.066969
Kama,-0.025053,0.041883,0.059578,-0.066163
Kama,0.059154,0.040793,0.019682,-0.078235
Kama,0.005509,0.007587,0.003779,-0.030547
Kama,-0.052078,0.05742,-0.033874,-0.151892
Kama,0.002519,0.053616,0.037201,0.0399
Kama,0.11184,-0.014595,-0.002931,0.090521
Kama,0.039607,0.064732,0.018618,-0.092667
Kama,0.058592,0.028829,-0.032987,-0.001957
Kama,0.007101,0.045946,-0.032641,-0.066416
Kama,-0.014584,0.027853,-0.012892,0.101146
Kama,0.098953,0.05417,0.030886,-0.000179
Kama,0.051393,0.01828,-0.038791,-0.060362
Kama,0.012429,-0.029288,0.042236,-0.05882
Kama,0.008514,-0.021832,-0.047194,-0.084731
Kama,0.015426,-0.021264,-0.044944,-0.062685
Kama,0.000728,0.00461,0.059309,-0.082515
Kama,0.181494,-0.005542,-0.05615,-0.035309
Kama,0.124276,0.012929,0.031303,0.010626
Kama,-0.077827,0.049101,0.028414,-0.063028
Kama,0.044002,0.089098,0.039981,-0.028645
Kama,0.031426,0.025476,0.025761,0.0048
Kama,-0.052264,0.045683,0.020714,-0.027984
Kama,-0.022262,0.027469,-0.03264,0.024878
Kama,0.048413,0.007408,0.023375,0.016955
Kama,-0.017459,0.045401,0.056385,-0.059014
Kama,-0.077763,0.005856,-0.071632,-0.022867
Kama,-0.043612,0.010076,-0.04465,-0.100328
Kama,-0.057246,0.031036,-0.105118,-0.039278
Kama,-0.100633,0.03714,-0.075896,-0.027866
Kama,-0.00197,-0.006753,0.087066,0.151171
Kama,-0.050076,0.035066,0.032028,0.011008
Kama,0.039988,0.050932,0.030518,0.026314
Kama,-0.025096,0.02603,0.258466,0.271045
Kama,-0.046243,0.008595,0.12195,-0.111892
Kama,-0.000048,-0.026566,0.076778,-0.154154
Kama,-0.009973,0.019509,0.097771,-0.156146
Kama,-0.002959,-0.024657,-0.000388,-0.034548
Kama,-0.04389,0.050968,0.073378,-0.069528
Kama,-0.044519,0.041899,0.120307,-0.072582
Kama,0.012206,0.065513,-0.010947,-0.069163
Kama,0.025406,0.036957,0.010103,0.004879
Kama,-0.083069,0.036261,-0.071169,-0.080516
Kama,-0.102602,0.00385,0.001018,-0.056082
Rosa,0.042321,0.011923,-0.095783,0.083818
Rosa,-0.028363,-0.018993,-0.077359,0.144482
Rosa,0.007777,0.004503,-0.021234,0.124802
Rosa,0.169308,0.043115,0.019646,0.083498
Rosa,0.048071,0.012314,-0.095848,-0.00686
Rosa,-0.116628,-0.005359,-0.071276,0.096209
Rosa,-0.191362,0.043668,-0.114412,0.011679
Rosa,-0.060685,0.120716,-0.023243,-0.029453
Rosa,0.059142,0.042396,-0.131495,-0.055428
Rosa,-0.061178,0.027908,-0.047958,0.03159
Rosa,0.002642,-0.045116,-0.115991,0.009011
Rosa,0.019732,0.015953,0.06026,0.148435
Rosa,-0.101657,0.085727,0.042446,0.038294
Rosa,-0.015959,0.105033,-0.04699,0.05848
Rosa,0.01691,0.088467,-0.0048,0.093278
Rosa,0.026622,0.035085,-0.12377,-0.005068
Rosa,-0.051576,0.067361,-0.046383,0.025575
Rosa,0.116409,0.027619,-0.139906,0.101607
Rosa,0.13211,0.136203,0.122738,-0.019567
Rosa,0.110962,0.09409,0.074122,0.021553
Rosa,0.04183,0.120711,-0.065576,0.003171
Rosa,0.092416,0.054955,-0.024919,0.021932
Rosa,0.031416,0.093867,-0.052299,-0.078049
Rosa,0.115846,0.010283,0.045321,0.068903
Rosa,0.12582,0.037605,-0.199246,-0.006837
Rosa,0.079083,0.007629,-0.114826,0.049547
Rosa,0.071741,0.054965,-0.025991,0.101131
Rosa,-0.069991,0.085151,-0.193863,-0.096425
Rosa,-0.08743,0.041294,-0.167452,0.008248
Rosa,-0.03649,0.079895,-0.05799,0.029716
Rosa,-0.045261,-0.018126,-0.029267,0.089593
Rosa,-0.082305,0.051536,-0.029129,0.034431
Rosa,-0.025704,0.05821,0.057121,0.101215
Rosa,-0.048224,0.081223,-0.069542,0.028965
Rosa,0.022071,0.054738,-0.034528,0.074157
Rosa,-0.085295,0.080097,0.037377,0.099236
Rosa,0.096732,0.035997,-0.070822,-0.016734
Rosa,-0.043604,0.028081,-0.069716,0.031347
Rosa,0.148119,0.092125,-0.111478,-0.044602
Rosa,-0.057606,0.113129,-0.021223,-0.010836
Rosa,0.047855,0.091985,0.040012,0.070809
Rosa,-0.051361,0.101787,0.05963,0.152021
Rosa,0.133154,0.094812,0.058589,0.06542
Rosa,-0.070652,0.037862,0.013601,0.115482
Rosa,0.079968,0.11801,0.085095,0.077144
Rosa,0.104015,0.109495,-0.065112,-0.058657
Rosa,0.067554,0.074674,0.102321,0.063531
Rosa,0.056563,0.052046,-0.024488,0.083552
Rosa,0.08665,0.092044,-0.007558,-0.073346
Rosa,0.079671,0.099742,-0.006619,0.058508
Rosa,0.019843,0.054317,0.081356,0.143208
Rosa,-0.171377,0.048925,-0.085519,0.005452
Rosa,-0.174887,-0.027285,-0.058308,0.172311
Rosa,0.006299,0.052918,-0.014241,-0.009601
Rosa,-0.148437,0.011083,0.086265,0.106725
Rosa,0.127044,0.024328,0.025842,0.114514
Rosa,-0.088038,0.070426,-0.072986,-0.005602
Rosa,-0.002548,0.047312,-0.054483,-0.001338
Rosa,-0.064541,0.170362,0.008254,-0.004069
Rosa,-0.0558,0.002222,0.024678,0.075907
Rosa,0.030996,0.041411,-0.050445,-0.040483
Rosa,0.032169,0.07406,0.027836,0.084058
Rosa,0.061074,-0.034238,-0.163085,-0.064158
Rosa,-0.071324,-0.032526,-0.097125,0.111703
Rosa,0.107117,-0.087489,-0.142934,0.038866
Rosa,-0.014661,-0.04363,-0.034352,0.051007
Rosa,0.115559,0.018957,-0.093271,0.030568
Rosa,-0.059801,-0.014461,-0.174529,0.034495
Rosa,-0.070005,-0.011194,-0.118069,0.073113
Rosa,0.08816,-0.048238,-0.142516,0.021704
Canadian,-0.008163,-0.090707,-0.063981,0.049993
Canadian,0.109339,-0.112449,-0.077186,-0.008078
Canadian,-0.038194,-0.092924,-0.043789,0.033415
Canadian,0.051036,-0.116195,-0.027405,-0.012649
Canadian,-0.059348,-0.073189,0.014189,0.065606
Canadian,-0.003091,-0.129568,0.021716,0.092085
Canadian,-0.108003,-0.05096,0.006224,0.010627
Canadian,-0.007514,-0.037928,0.02058,-0.06586
Canadian,-0.064919,-0.053873,-0.06777,-0.014179
Canadian,0.105365,-0.109901,0.070429,0.09427
Canadian,0.030871,-0.118178,-0.050374,-0.02074
Canadian,-0.032361,-0.103994,-0.006237,0.044556
Canadian,-0.031705,-0.090937,-0.053799,0.043118
Canadian,-0.037746,-0.042047,0.068787,0.01946
Canadian,-0.02012,-0.111711,-0.017004,0.025434
Canadian,-0.014789,-0.109238,0.012193,0.009643
Canadian,0.023906,-0.080609,0.04377,-0.019205
Canadian,-0.174691,-0.064812,0.018944,0.152437
Canadian,-0.080886,-0.069299,-0.0206,0.078407
Canadian,-0.041643,-0.106079,-0.03257,0.002155
Canadian,-0.000206,-0.080031,-0.106905,0.002799
Canadian,0.012738,-0.075389,-0.078693,-0.103855
Canadian,-0.060833,-0.058614,0.04044,0.020875
Canadian,0.014694,-0.067275,-0.006561,0.009954
Canadian,-0.006435,-0.13343,0.036628,-0.031179
Canadian,-0.027342,-0.046096,-0.03337,-0.123626
Canadian,-0.061246,-0.087339,-0.034893,0.024187
Canadian,0.041306,-0.068903,-0.070884,-0.045261
Canadian,-0.142065,-0.071716,0.006911,-0.015158
Canadian,-0.114871,-0.077503,0.02981,0.018248
Canadian,0.117609,-0.118885,0.068544,0.070377
Canadian,0.021093,-0.09878,0.087972,0.034737
Canadian,-0.060617,-0.078901,0.060268,0.015706
Canadian,-0.064926,-0.104191,0.040465,0.035511
Canadian,0.047144,-0.106713,0.069345,0.10496
Canadian,0.111186,-0.139982,0.051331,0.006405
Canadian,-0.036012,-0.086282,0.032851,-0.025348
Canadian,0.010411,-0.063846,0.080007,-0.05855
Canadian,-0.036009,-0.072761,0.032652,-0.083925
Canadian,0.02123,-0.030429,-0.008197,0.023638
