@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A6-N500-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R1-7

@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric

@data
Kama,0.025138,0.037633,-0.033762,0.078835,0.044042,0.007734
Kama,0.050927,-0.026935,-0.10486,0.055835,0.018466,0.026977
Kama,0.046161,-0.034721,-0.081195,0.095715,-0.065108,-0.008016
Kama,-0.086715,-0.082866,-0.038097,0.047151,-0.126107,0.021243
Kama,0.043127,-0.028721,-0.066994,0.035964,-0.072472,-0.010834
Kama,0.028482,-0.021453,-0.075224,0.067643,-0.043656,-0.015442
Kama,0.007141,0.048114,-0.046334,0.070376,0.004599,-0.008991
Kama,-0.023629,-0.031587,-0.022729,0.059922,-0.068277,-0.029424
Kama,-0.037091,0.083314,0.011077,-0.042242,-0.020419,-0.10793
Kama,0.017347,0.028621,-0.005674,0.013796,-0.035909,-0.057114
Kama,0.047347,0.097042,-0.034734,0.114859,0.073736,0.042144
Kama,0.036469,-0.016111,-0.082745,0.044676,0.013135,-0.031835
Kama,0.078226,-0.004854,0.035805,0.218044,0.019107,0.014273
Kama,0.047005,-0.006051,0.002862,0.144696,0.03658,0.003764
Kama,0.0926,-0.003156,-0.00025,0.167134,0.071222,-0.002502
Kama,0.071353,-0.005067,-0.062005,0.164274,-0.021201,0.075163
Kama,-0.017749,-0.033297,-0.046856,0.121759,-0.149139,0.035627
Kama,0.05667,-0.041625,-0.087626,0.046664,-0.07153,0.00245
Kama,0.058729,-0.082508,-0.154101,0.07539,-0.096085,0.055909
Kama,-0.035136,-0.037377,-0.043755,0.042851,-0.002291,0.037221
Kama,0.002721,0.048341,-0.016175,0.086355,0.075578,0.002702
Kama,-0.000608,0.028188,-0.057541,0.028419,0.019322,-0.045024
Kama,0.068573,-0.039888,-0.095836,0.032642,-0.040973,-0.00355
Kama,0.017748,-0.107704,-0.101672,-0.080915,0.010841,-0.072288
Kama,0.089247,0.025829,-0.009184,0.155645,0.105007,0.024807
Kama,0.111395,0.016701,-0.049325,0.056928,0.038006,-0.047559
Kama,0.042779,-0.023751,0.003371,0.127734,0.06734,0.01918
Kama,0.05336,-0.038844,-0.0089,0.086245,0.092273,-0.010478
Kama,0.016445,0.004454,0.014093,0.108182,-0.004946,-0.054551
Kama,-0.013789,0.022504,-0.000482,0.080272,0.051286,-0.009065
Kama,0.098372,-0.011982,-0.042181,0.042978,0.08978,-0.141223
Kama,-0.009672,0.045319,-0.028894,0.089459,0.020266,0.070183
Kama,-0.121459,0.048041,0.031275,0.052908,0.014356,0.030047
Kama,0.045007,0.005961,0.011512,0.115215,0.044809,-0.06142
Kama,-0.028324,0.032238,-0.022716,0.021185,-0.01934,-0.062028
Kama,0.044016,0.021497,-0.036819,0.016894,-0.059233,-0.077781
Kama,-0.045142,0.051423,-0.076564,-0.018475,-0.013275,0.04942
Kama,0.011642,-0.003769,0.015753,0.030832,-0.116582,-0.01315
Kama,-0.00959,0.043923,0.008061,0.066727,-0.019693,-0.070833
Kama,-0.033376,0.04747,0.029091,0.176468,-0.063957,0.065636
Kama,-0.009791,-0.004662,-0.042626,0.005816,-0.047287,-0.122253
Kama,-0.022459,-0.009219,-0.053495,-0.008498,-0.048712,-0.120679
Kama,0.019913,-0.068523,-0.066525,0.056315,-0.078985,-0.061809
Kama,-0.076546,0.081382,0.116756,0.102542,-0.058906,-0.062261
Kama,-0.05779,-0.004027,0.003527,0.060357,-0.11144,-0.026211
Kama,0.062721,-0.026169,-0.098256,0.038905,0.02711,-0.038912
Kama,0.04061,-0.004573,-0.030897,0.072662,-0.007073,-0.030482
Kama,-0.018551,0.006506,-0.037964,0.051907,-0.049565,-0.001433
Kama,0.03084,0.019078,-0.072339,0.067174,0.008869,0.007555
Kama,-0.018481,0.039886,-0.071314,0.000883,0.024938,-0.02187
Kama,-0.050423,0.03138,-0.001966,0.089149,-0.016304,0.027333
Kama,0.039282,0.058855,0.022523,0.184214,-0.013948,0.089777
Kama,-0.010023,0.107403,-0.034192,0.068313,0.093123,0.007098
Kama,0.030234,0.041697,-0.036277,0.064109,0.003555,-0.068173
Kama,0.015657,0.070142,-0.066846,-0.016519,0.088234,-0.098005
Kama,0.031242,0.066871,-0.09799,-0.005651,0.065625,-0.049723
Kama,-0.090703,-0.040018,-0.123104,-0.022244,-0.077057,0.095502
