@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A7-N1000-T1.0E-4

@attribute Area numeric
@attribute Perimeter numeric
@attribute Compactness numeric
@attribute Length numeric
@attribute Width numeric
@attribute 'Asymmetry Coefficient' numeric
@attribute 'Length of Kernel Groove' numeric
@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric

@data
15.26,14.84,0.871,5.763,3.312,2.221,5.22,Kama,-0.025376,0.043647,0.062537,-0.108543,-0.016436,0.057637,-0.016271
14.88,14.57,0.8811,5.554,3.333,1.018,4.956,Kama,0.009622,0.069782,0.086385,-0.115857,-0.031297,0.016645,0.068284
14.29,14.09,0.905,5.291,3.337,2.699,4.825,Kama,-0.047287,0.08648,-0.029942,-0.010287,-0.012568,0.031718,0.110559
13.84,13.94,0.8955,5.324,3.379,2.259,4.805,Kama,0.044062,0.100439,-0.060258,-0.199279,0.032601,-0.111544,0.02723
16.14,14.99,0.9034,5.658,3.562,1.355,5.175,Kama,0.024869,0.076761,-0.014747,-0.092455,-0.053617,-0.007465,0.062874
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,Kama,-0.036464,0.072936,-0.008532,-0.027473,-0.023656,0.011221,0.07434
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,Kama,-0.063269,0.061365,0.01416,0.015861,-0.004164,0.046914,0.00428
14.11,14.1,0.8911,5.42,3.302,2.7,5,Kama,-0.021336,0.055982,-0.050171,-0.094669,-0.010035,-0.029951,0.025206
16.63,15.46,0.8747,6.053,3.465,2.04,5.877,Kama,-0.011155,0.015796,-0.021923,-0.061333,-0.108004,-0.04732,-0.118383
16.44,15.25,0.888,5.884,3.505,1.969,5.533,Kama,0.00004,0.029941,-0.024427,-0.078149,-0.073298,0.000141,-0.02734
15.26,14.85,0.8696,5.714,3.242,4.543,5.314,Kama,-0.084087,0.053174,0.066135,0.058176,0.034007,0.145414,-0.004577
14.03,14.16,0.8796,5.438,3.201,1.717,5.001,Kama,-0.037899,0.042317,0.044739,-0.049306,-0.05115,0.005939,0.055009
13.89,14.02,0.888,5.439,3.199,3.986,4.738,Kama,-0.099536,0.019645,-0.030457,-0.090615,0.048892,0.172071,0.064398
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,Kama,-0.067966,0.016064,0.01452,-0.100557,0.019141,0.10103,0.036761
13.74,14.05,0.8744,5.482,3.114,2.932,4.825,Kama,-0.089394,-0.002347,0.03589,-0.084833,0.005738,0.148663,0.060132
14.59,14.28,0.8993,5.351,3.333,4.185,4.781,Kama,-0.059012,0.094999,0.001745,0.015178,0.066029,0.129833,0.116696
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,Kama,-0.053729,0.127381,-0.122503,0.058643,0.076923,0.020331,0.109033
15.69,14.75,0.9058,5.527,3.514,1.599,5.046,Kama,0.01463,0.084347,-0.008786,-0.058,-0.041382,0.003455,0.098664
14.7,14.21,0.9153,5.205,3.466,1.767,4.649,Kama,0.015114,0.138438,0.007142,-0.033189,0.001888,-0.00352,0.177633
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,Kama,-0.023983,0.03794,0.0178,-0.011873,0.055744,-0.02044,0.042983
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,Kama,-0.057339,0.022025,0.069097,-0.081223,0.005574,0.063047,-0.036717
14.11,14.26,0.8722,5.52,3.168,2.688,5.219,Kama,-0.056258,0.036506,0.031673,-0.005446,-0.042599,0.000159,-0.001167
15.88,14.9,0.8988,5.618,3.507,0.7651,5.091,Kama,0.02642,0.071514,0.027972,-0.093684,-0.065014,0.00077,0.087824
12.08,13.23,0.8664,5.099,2.936,1.415,4.961,Kama,-0.003744,-0.028929,0.045073,0.016299,-0.084332,-0.11466,0.103683
15.01,14.76,0.8657,5.789,3.245,1.791,5.001,Kama,-0.046614,0.011481,0.097207,-0.175436,-0.006104,0.148499,0.010571
16.19,15.16,0.8849,5.833,3.421,0.903,5.307,Kama,-0.025562,0.013853,0.051618,-0.074219,-0.098297,0.080872,0.041882
13.02,13.76,0.8641,5.395,3.026,3.373,4.825,Kama,-0.061708,-0.008852,0.041598,-0.091209,0.035301,0.091884,0.04298
12.74,13.67,0.8564,5.395,2.956,2.504,4.869,Kama,-0.053288,-0.038561,0.068101,-0.097261,-0.005085,0.063629,0.044773
14.11,14.18,0.882,5.541,3.221,2.754,5.038,Kama,-0.069007,0.016927,-0.03109,-0.103903,-0.024425,0.049136,0.001519
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,Kama,-0.061778,0.009796,0.033123,-0.067637,0.015737,0.039538,-0.024665
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,Kama,-0.103792,-0.057271,0.0525,-0.036588,-0.138227,0.047634,0.047723
15.49,14.94,0.8724,5.757,3.371,3.412,5.228,Kama,-0.004062,0.076949,0.053455,-0.094737,0.04849,0.05696,-0.024822
14.09,14.41,0.8529,5.717,3.186,3.92,5.299,Kama,-0.005607,0.046579,0.020145,-0.165464,0.062593,-0.035201,-0.126323
13.94,14.17,0.8728,5.585,3.15,2.124,5.012,Kama,-0.076811,-0.007943,0.011086,-0.128468,-0.042817,0.074227,0.00205
15.05,14.68,0.8779,5.712,3.328,2.129,5.36,Kama,-0.026185,0.042117,-0.005487,-0.090232,-0.057425,-0.029689,-0.047199
16.12,15,0.9,5.709,3.485,2.27,5.443,Kama,-0.031364,0.042374,-0.047808,0.012358,-0.088259,0.010182,0.02564
