@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N1000-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R1-7

@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric

@data
Kama,-0.000654,0.050468
Kama,-0.04519,0.038164
Kama,-0.062911,-0.00012
Kama,-0.072371,0.213012
Kama,-0.088705,0.045242
Kama,-0.06263,0.014777
Kama,-0.00948,-0.002711
Kama,-0.063052,0.094208
Kama,-0.092612,0.063209
Kama,-0.072472,0.043895
Kama,0.07383,-0.062246
Kama,-0.065353,0.006117
Kama,0.05207,0.020213
Kama,0.022526,0.035876
Kama,0.03118,-0.011356
Kama,0.040609,-0.030139
Kama,-0.019393,0.02786
Kama,-0.082726,0.016394
Kama,-0.078302,0.010947
Kama,0.015051,0.038722
Kama,0.028082,0.04387
Kama,-0.047409,0.004543
Kama,-0.090478,0.020561
Kama,-0.118584,-0.041874
Kama,0.041444,0.039344
Kama,-0.062882,-0.036498
Kama,0.044651,0.023637
Kama,0.015206,0.006935
Kama,-0.03377,0.062648
Kama,0.020813,0.049767
Kama,-0.100072,-0.069208
Kama,0.047659,0.076902
Kama,0.042923,0.19288
Kama,-0.027575,0.046226
Kama,-0.071269,0.081591
Kama,-0.098626,-0.024023
Kama,-0.011254,0.064909
Kama,-0.057194,0.061072
Kama,-0.047158,0.048327
Kama,0.087085,0.043474
Kama,-0.120709,-0.000789
Kama,-0.130541,0.018582
Kama,-0.105638,0.013946
Kama,0.004791,0.14673
Kama,-0.062141,0.140291
Kama,-0.072051,-0.036201
Kama,-0.058603,0.065018
Kama,-0.037986,0.06972
Kama,-0.021189,0.000053
Kama,-0.046122,0.039682
Kama,0.023168,0.105893
Kama,0.104823,0.004613
Kama,0.050002,-0.012627
Kama,-0.046573,-0.041429
Kama,-0.074125,-0.024283
Kama,-0.055975,-0.052482
Kama,-0.030353,0.129655
Kama,-0.137934,0.00591
Kama,-0.055939,0.082646
Kama,0.063759,0.196858
Kama,-0.021007,-0.057459
Kama,-0.120825,-0.067756
Kama,-0.039264,-0.031261
Kama,0.007971,0.034626
Kama,-0.068525,-0.014008
Kama,-0.037817,-0.003702
Kama,-0.069994,0.026192
Kama,-0.01813,0.083581
Kama,-0.098374,-0.062088
Kama,0.044818,-0.054703
Rosa,0.022412,0.046307
Rosa,0.051671,0.059464
Rosa,0.045039,0.057859
Rosa,-0.073943,0.053909
Rosa,-0.01085,0.02283
Rosa,0.072762,-0.02942
Rosa,0.05174,-0.14486
Rosa,0.112899,-0.221148
Rosa,0.054193,-0.072671
Rosa,-0.056698,-0.055692
Rosa,0.00753,-0.005985
Rosa,0.067053,0.017857
Rosa,0.118544,-0.197648
Rosa,-0.04411,-0.094233
Rosa,0.027519,-0.040945
Rosa,-0.095378,-0.061134
Rosa,-0.105358,-0.13296
Rosa,0.017399,0.059362
Rosa,0.170074,-0.096807
Rosa,0.083019,-0.093457
Rosa,-0.015493,-0.106352
Rosa,-0.046607,-0.010732
Rosa,-0.005911,-0.101579
Rosa,0.062436,0.045417
Rosa,0.093159,0.054855
Rosa,-0.00317,0.07629
Rosa,0.011418,0.003195
Rosa,-0.054369,-0.197904
Rosa,-0.026003,-0.116018
Rosa,-0.037593,-0.090564
Rosa,-0.012064,0.013982
Rosa,-0.092138,-0.103846
Rosa,0.04427,-0.077661
Rosa,0.036622,-0.106398
Rosa,0.001865,-0.034217
Rosa,-0.009818,-0.091716
Rosa,-0.106763,-0.052309
Rosa,-0.001492,-0.055125
Rosa,0.003972,-0.046633
Rosa,-0.036028,-0.112301
Rosa,-0.022761,0.012718
Rosa,0.11273,-0.029509
Rosa,-0.052539,0.031852
Rosa,0.193165,-0.057287
Rosa,0.131001,-0.06902
Rosa,-0.036076,-0.044813
Rosa,0.046056,-0.000577
Rosa,-0.026032,-0.02003
Rosa,-0.000016,-0.064297
Rosa,0.026482,-0.042619
Rosa,0.141831,-0.047495
Rosa,0.013787,-0.17804
Rosa,0.04645,-0.020764
Rosa,-0.069591,-0.085308
Rosa,-0.035372,-0.033072
Rosa,-0.003205,0.067441
Rosa,0.081694,-0.129026
Rosa,-0.099961,-0.068409
Rosa,0.048471,-0.170095
Rosa,0.046368,-0.033859
Rosa,-0.104852,-0.084196
Rosa,-0.011404,-0.016417
Rosa,-0.032398,0.028197
Rosa,0.010309,0.018004
Rosa,-0.062661,0.103387
Rosa,-0.094048,0.028829
Rosa,-0.028414,0.075523
Rosa,-0.057649,-0.007573
Rosa,-0.044196,0.004328
Rosa,-0.096009,0.061902
Canadian,0.040261,0.06059
Canadian,0.068035,0.11687
Canadian,0.050713,0.034142
Canadian,-0.010623,0.052238
Canadian,0.070412,0.016448
Canadian,0.124677,0.045191
Canadian,-0.041736,-0.071025
Canadian,0.012817,0.001587
Canadian,-0.038231,-0.026107
Canadian,0.121756,0.115885
Canadian,-0.002907,0.021731
Canadian,0.166471,0.030747
Canadian,0.040871,0.026674
Canadian,0.045276,-0.007362
Canadian,-0.020681,-0.008991
Canadian,0.097623,-0.008104
Canadian,-0.062296,0.008503
Canadian,0.149339,-0.00639
Canadian,0.100419,0.008012
Canadian,0.069562,-0.024466
Canadian,-0.068189,0.014737
Canadian,-0.026719,-0.0299
Canadian,0.083683,0.001472
Canadian,0.007235,0.050119
Canadian,0.048246,-0.022423
Canadian,-0.149167,-0.067196
Canadian,0.031539,-0.003552
Canadian,-0.033817,0.026496
Canadian,0.052661,-0.106267
Canadian,0.000653,-0.077395
Canadian,0.159782,0.126012
Canadian,0.133821,0.061702
Canadian,0.031781,-0.029867
Canadian,0.080512,-0.018445
Canadian,0.115806,0.078882
Canadian,-0.04384,0.065695
Canadian,0.076651,-0.035754
Canadian,0.071666,-0.031456
Canadian,0.088376,-0.049946
Canadian,-0.078443,0.052578
Canadian,0.05954,-0.080177
Canadian,-0.019983,0.057005
Canadian,0.005356,0.00018
Canadian,-0.000944,-0.019695
Canadian,0.065822,0.145623
Canadian,0.073829,-0.017227
Canadian,0.077122,0.001182
Canadian,0.041976,-0.062952
Canadian,0.107023,0.028892
Canadian,-0.00115,0.008466
Canadian,0.058704,-0.025918
Canadian,-0.026437,-0.010003
Canadian,-0.123441,0.022333
Canadian,0.075671,-0.028982
Canadian,-0.014597,0.092877
Canadian,-0.00975,0.05233
Canadian,0.03127,0.005738
Canadian,-0.021573,-0.000375
Canadian,-0.015712,0.005961
Canadian,-0.109011,0.026994
Canadian,0.048946,0.054937
Canadian,-0.119735,-0.030449
Canadian,-0.026099,-0.053613
Canadian,0.102024,0.047341
Canadian,0.012259,0.013966
Canadian,-0.043995,-0.009042
Canadian,0.002188,0.026301
Canadian,0.098736,0.154708
Canadian,-0.012547,-0.045232
Canadian,0.027015,0.043557
