@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A3-N1000-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R1-7

@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric

@data
Kama,0.001306,-0.008403,-0.028126
Kama,0.028493,-0.095341,-0.055121
Kama,0.030362,-0.09172,0.082889
Kama,0.122065,-0.040942,0.020178
Kama,0.079306,-0.064334,-0.006019
Kama,0.020228,-0.075701,0.047565
Kama,-0.048669,-0.014649,0.050782
Kama,0.063412,-0.030953,0.047436
Kama,0.005095,0.058412,-0.034453
Kama,0.049506,0.009244,-0.012276
Kama,-0.105914,0.012959,0.050369
Kama,0.00395,-0.084132,-0.006586
Kama,0.054271,-0.006365,0.111929
Kama,0.033411,-0.021219,0.044243
Kama,0.025229,-0.03699,0.043517
Kama,-0.008363,-0.061566,0.106301
Kama,0.019485,-0.047008,0.189925
Kama,0.064889,-0.090771,0.011871
Kama,0.051419,-0.157523,0.041732
Kama,-0.018978,-0.047158,0.03439
Kama,-0.034904,0.007172,-0.009847
Kama,-0.039838,-0.036494,0.011332
Kama,0.06911,-0.097738,-0.034933
Kama,0.011662,-0.151734,-0.049813
Kama,0.032688,-0.01527,-0.039558
Kama,0.036064,-0.05531,-0.040768
Kama,0.019761,-0.030975,0.023335
Kama,0.022427,-0.054278,-0.020732
Kama,0.049796,-0.003696,0.052067
Kama,-0.019524,0.004535,0.017521
Kama,0.007756,-0.090988,-0.018281
Kama,-0.014571,0.017229,-0.007339
Kama,-0.003298,0.081083,-0.015813
Kama,0.046714,-0.014683,0.017444
Kama,0.017651,0.003288,-0.005222
Kama,0.025265,-0.029679,0.038941
Kama,-0.043687,0.000216,-0.051629
Kama,0.097782,0.019173,0.039986
Kama,0.009859,0.020509,0.055033
Kama,-0.030972,0.053288,0.187918
Kama,0.000403,-0.05205,0.065353
Kama,0.003294,-0.057494,0.046329
Kama,0.052406,-0.102816,0.084028
Kama,0.04817,0.139095,0.100265
Kama,0.076592,0.017337,0.065282
Kama,-0.00617,-0.110131,-0.008218
Kama,0.067689,-0.034138,-0.017139
Kama,0.021485,-0.016515,0.031497
Kama,-0.023508,-0.050011,0.016595
Kama,-0.039757,-0.026534,-0.04083
Kama,-0.000949,0.029227,0.043012
Kama,-0.015872,0.045787,0.122074
Kama,-0.123311,0.027328,0.012021
Kama,-0.041103,-0.027279,0.071952
Kama,-0.075001,-0.030697,-0.059065
Kama,-0.090326,-0.050368,-0.040219
Kama,-0.002708,-0.066825,-0.03437
Kama,0.011441,-0.128366,-0.007561
Kama,0.04009,-0.027432,-0.015745
Kama,0.056583,-0.141489,-0.209375
Kama,0.074793,-0.12787,0.014794
Kama,0.108904,-0.141856,0.055744
Kama,0.075277,-0.092665,0.107045
Kama,-0.029767,-0.003402,0.055187
Kama,0.047352,-0.124526,-0.031557
Kama,0.053155,-0.121778,0.038627
Kama,0.026251,-0.040084,-0.02005
Kama,0.006075,-0.013105,-0.032057
Kama,-0.05674,-0.074408,-0.014841
Kama,-0.072108,-0.043834,-0.016783
Rosa,-0.048487,0.104888,-0.037584
Rosa,-0.122837,0.074224,-0.035663
Rosa,-0.048996,0.063144,-0.020656
Rosa,0.16636,0.059457,-0.037163
Rosa,-0.02812,0.08513,0.028253
Rosa,-0.161746,0.039079,-0.019591
Rosa,-0.183381,0.008349,-0.050233
Rosa,0.032267,0.085116,-0.083602
Rosa,-0.005354,0.163041,0.019366
Rosa,-0.043003,-0.026034,-0.021971
Rosa,-0.090947,0.08817,0.080513
Rosa,0.024977,0.053389,-0.007274
Rosa,0.011235,0.035489,-0.052684
Rosa,0.041794,0.008728,-0.154575
Rosa,0.047153,0.052992,-0.118224
Rosa,0.006232,0.039057,-0.039957
Rosa,0.029632,-0.047241,-0.089933
Rosa,-0.004833,0.16682,-0.09309
Rosa,0.223539,0.153577,-0.017012
Rosa,0.186519,0.111169,-0.032174
Rosa,0.084586,0.069293,-0.13977
Rosa,0.093543,0.057802,-0.022695
Rosa,0.06125,0.065184,-0.00868
Rosa,0.084941,0.111626,0.068233
Rosa,-0.053298,0.249756,-0.021071
Rosa,-0.034932,0.112347,-0.022479
Rosa,0.05743,0.084142,-0.085363
Rosa,-0.056793,0.05038,-0.07746
Rosa,-0.112669,0.043117,-0.077838
Rosa,0.002225,0.007455,-0.09479
Rosa,-0.074572,0.000961,0.01421
Rosa,-0.012161,-0.065575,-0.051765
Rosa,0.045721,0.016816,-0.050167
Rosa,-0.028063,0.058254,-0.087108
Rosa,0.025652,0.055327,-0.071884
Rosa,0.009299,-0.047293,-0.101819
Rosa,0.098881,0.047409,-0.005544
Rosa,-0.055068,0.032711,-0.020848
Rosa,0.10785,0.164971,-0.062936
Rosa,0.022106,-0.023073,-0.085706
Rosa,0.088592,0.009594,-0.078574
Rosa,0.000188,0.037745,-0.131865
Rosa,0.177065,0.029806,-0.073619
Rosa,-0.078092,0.111901,-0.016963
Rosa,0.151671,0.11539,-0.096458
Rosa,0.108464,0.087517,-0.052629
Rosa,0.122168,0.042111,-0.00097
Rosa,0.063702,0.051392,-0.076181
Rosa,0.117389,0.077363,0.019596
