@relation seeds-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N1-R42-DSparse1

@attribute K1 numeric
@attribute Class {Kama,Rosa,Canadian}

@data
11.490425,Kama
11.14592,Kama
10.731787,Kama
10.77249,Kama
11.364678,Kama
10.879184,Kama
11.15943,Kama
10.931146,Kama
11.999128,Kama
11.729448,Kama
11.40313,Kama
10.942404,Kama
10.958685,Kama
11.00701,Kama
11.009608,Kama
10.825837,Kama
10.45691,Kama
11.141936,Kama
10.600671,Kama
10.556157,Kama
11.286736,Kama
11.071615,Kama
11.287429,Kama
10.332376,Kama
11.526279,Kama
11.635744,Kama
10.841079,Kama
10.827742,Kama
11.124962,Kama
11.044249,Kama
10.946908,Kama
11.482458,Kama
11.379401,Kama
11.185238,Kama
11.414042,Kama
11.447124,Kama
11.603701,Kama
11.673849,Kama
11.324668,Kama
10.897024,Kama
10.79951,Kama
10.801415,Kama
10.459682,Kama
11.706931,Kama
11.219532,Kama
10.834671,Kama
11.409192,Kama
11.186104,Kama
11.131717,Kama
11.337312,Kama
11.189221,Kama
11.373165,Kama
11.377495,Kama
11.062782,Kama
11.42582,Kama
11.375763,Kama
10.859612,Kama
10.885247,Kama
11.340949,Kama
10.389187,Kama
10.17805,Kama
10.021646,Kama
10.337399,Kama
10.847834,Kama
10.623707,Kama
10.438897,Kama
11.262834,Kama
11.208967,Kama
11.157178,Kama
10.838828,Kama
12.225334,Rosa
11.882388,Rosa
11.871996,Rosa
12.231916,Rosa
11.94353,Rosa
11.762011,Rosa
11.992547,Rosa
12.912958,Rosa
12.678612,Rosa
11.672637,Rosa
11.703987,Rosa
11.957559,Rosa
12.426425,Rosa
12.57798,Rosa
12.546976,Rosa
12.228279,Rosa
12.091273,Rosa
12.831032,Rosa
12.94171,Rosa
12.735943,Rosa
12.913478,Rosa
12.246292,Rosa
12.405987,Rosa
12.026668,Rosa
13.00978,Rosa
12.130937,Rosa
12.509737,Rosa
12.674628,Rosa
12.357663,Rosa
12.297561,Rosa
11.439503,Rosa
11.759239,Rosa
12.144274,Rosa
12.54126,Rosa
12.351081,Rosa
12.00086,Rosa
12.224122,Rosa
11.973667,Rosa
13.07733,Rosa
12.192772,Rosa
12.122797,Rosa
12.426772,Rosa
12.274178,Rosa
12.351601,Rosa
12.901873,Rosa
12.646396,Rosa
12.052822,Rosa
12.35645,Rosa
12.345712,Rosa
12.772316,Rosa
12.478906,Rosa
12.013851,Rosa
11.467562,Rosa
11.929846,Rosa
10.858919,Rosa
12.143235,Rosa
12.392477,Rosa
11.913565,Rosa
12.793793,Rosa
11.587593,Rosa
11.933484,Rosa
12.19052,Rosa
11.69931,Rosa
11.621022,Rosa
11.532514,Rosa
11.043556,Rosa
12.165059,Rosa
11.730661,Rosa
11.58742,Rosa
11.703467,Rosa
10.946561,Canadian
11.089109,Canadian
10.82705,Canadian
10.546804,Canadian
10.637217,Canadian
10.558062,Canadian
10.408759,Canadian
10.622321,Canadian
10.79951,Canadian
10.613488,Canadian
10.587334,Canadian
10.790503,Canadian
10.810249,Canadian
10.473018,Canadian
10.415168,Canadian
10.522728,Canadian
10.240924,Canadian
10.742352,Canadian
10.829128,Canadian
10.617991,Canadian
10.900662,Canadian
10.739235,Canadian
10.580406,Canadian
10.719316,Canadian
10.161596,Canadian
10.365112,Canadian
10.67844,Canadian
10.84489,Canadian
10.401138,Canadian
10.26396,Canadian
10.641547,Canadian
10.413955,Canadian
10.270888,Canadian
10.346405,Canadian
10.544552,Canadian
10.115177,Canadian
10.429544,Canadian
10.354027,Canadian
10.43959,Canadian
10.742699,Canadian
10.298774,Canadian
10.576941,Canadian
10.561873,Canadian
10.332549,Canadian
10.996964,Canadian
10.708924,Canadian
10.795526,Canadian
10.262747,Canadian
10.302931,Canadian
9.983194,Canadian
10.193119,Canadian
10.301026,Canadian
10.412223,Canadian
10.402004,Canadian
10.565337,Canadian
10.471979,Canadian
10.570013,Canadian
10.747202,Canadian
10.839347,Canadian
10.339304,Canadian
10.530696,Canadian
10.187403,Canadian
10.179263,Canadian
10.514241,Canadian
10.49744,Canadian
10.418805,Canadian
10.37689,Canadian
10.607599,Canadian
10.439243,Canadian
10.585255,Canadian
