@relation seeds-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute Class {Kama,Rosa,Canadian}

@data
11.490425,9.041305,Kama
11.14592,8.584044,Kama
10.731787,8.357145,Kama
10.77249,8.322504,Kama
11.364678,8.963363,Kama
10.879184,8.584044,Kama
11.15943,9.039573,Kama
10.931146,8.660254,Kama
11.999128,10.179263,Kama
11.729448,9.583437,Kama
11.40313,9.204118,Kama
10.942404,8.661986,Kama
10.958685,8.206457,Kama
11.00701,8.438552,Kama
11.009608,8.357145,Kama
10.825837,8.280935,Kama
10.45691,8.280935,Kama
11.141936,8.739928,Kama
10.600671,8.052304,Kama
10.556157,8.511298,Kama
11.286736,8.965095,Kama
11.071615,9.039573,Kama
11.287429,8.817871,Kama
10.332376,8.592704,Kama
11.526279,8.661986,Kama
11.635744,9.191994,Kama
10.841079,8.357145,Kama
10.827742,8.433355,Kama
11.124962,8.726072,Kama
11.044249,8.828263,Kama
10.946908,8.757249,Kama
11.482458,9.055162,Kama
11.379401,9.178137,Kama
11.185238,8.681039,Kama
11.414042,9.283792,Kama
11.447124,9.427553,Kama
11.603701,9.573045,Kama
11.673849,9.498567,Kama
11.324668,9.195458,Kama
10.897024,8.661986,Kama
10.79951,8.968559,Kama
10.801415,8.965095,Kama
10.459682,8.284399,Kama
11.706931,9.574777,Kama
11.219532,8.972023,Kama
10.834671,8.592704,Kama
11.409192,8.888885,Kama
11.186104,8.963363,Kama
11.131717,8.852512,Kama
11.337312,9.268204,Kama
11.189221,8.909669,Kama
11.373165,8.895813,Kama
11.377495,9.346146,Kama
11.062782,9.048233,Kama
11.42582,9.503763,Kama
11.375763,9.420624,Kama
10.859612,8.736464,Kama
10.885247,8.812675,Kama
11.340949,9.044769,Kama
10.389187,7.827138,Kama
10.17805,7.979558,Kama
10.021646,8.145835,Kama
10.337399,7.976094,Kama
10.847834,8.812675,Kama
10.623707,8.282667,Kama
10.438897,7.979558,Kama
11.262834,8.920062,Kama
11.208967,8.888885,Kama
11.157178,9.179869,Kama
10.838828,8.776301,Kama
12.225334,10.496228,Rosa
11.882388,10.179263,Rosa
11.871996,10.030306,Rosa
12.231916,10.529137,Rosa
11.94353,10.116909,Rosa
11.762011,10.037234,Rosa
11.992547,10.257205,Rosa
12.912958,11.17346,Rosa
12.678612,11.019307,Rosa
11.672637,9.952364,Rosa
11.703987,10.184459,Rosa
11.957559,10.182727,Rosa
12.426425,10.716198,Rosa
12.57798,10.865155,Rosa
12.546976,10.712734,Rosa
12.228279,10.733519,Rosa
12.091273,10.581098,Rosa
12.831032,11.254866,Rosa
12.94171,10.792409,Rosa
12.735943,10.948293,Rosa
12.913478,11.169996,Rosa
12.246292,10.484104,Rosa
12.405987,10.484104,Rosa
12.026668,10.179263,Rosa
13.00978,11.168264,Rosa
12.130937,10.335147,Rosa
12.509737,10.804533,Rosa
12.674628,11.176924,Rosa
12.357663,10.865155,Rosa
12.297561,10.560314,Rosa
11.439503,9.730661,Rosa
11.759239,10.109981,Rosa
12.144274,10.407893,Rosa
12.54126,10.788944,Rosa
12.351081,10.648648,Rosa
12.00086,10.182727,Rosa
12.224122,10.738715,Rosa
11.973667,10.269329,Rosa
13.07733,11.344933,Rosa
12.192772,10.208707,Rosa
12.122797,10.035502,Rosa
12.426772,10.331683,Rosa
12.274178,10.260669,Rosa
12.351601,10.484104,Rosa
12.901873,10.939633,Rosa
12.646396,10.674629,Rosa
12.052822,9.959292,Rosa
12.35645,10.712734,Rosa
12.345712,10.333415,Rosa
12.772316,10.946561,Rosa
12.478906,10.71793,Rosa
12.013851,10.411357,Rosa
11.467562,9.877886,Rosa
11.929846,10.22776,Rosa
10.858919,8.909669,Rosa
12.143235,10.378448,Rosa
12.392477,10.568974,Rosa
11.913565,10.252009,Rosa
12.793793,10.712734,Rosa
11.587593,9.80514,Rosa
11.933484,10.326487,Rosa
12.19052,10.30397,Rosa
11.69931,10.037234,Rosa
11.621022,10.037234,Rosa
11.532514,10.127301,Rosa
11.043556,9.420624,Rosa
12.165059,10.342075,Rosa
11.730661,10.182727,Rosa
11.58742,9.962756,Rosa
11.703467,10.257205,Rosa
10.946561,9.344414,Canadian
11.089109,9.422356,Canadian
10.82705,9.191994,Canadian
10.546804,9.043037,Canadian
10.637217,8.968559,Canadian
10.558062,9.136568,Canadian
10.408759,8.888885,Canadian
10.622321,8.663718,Canadian
10.79951,9.207582,Canadian
10.613488,8.996272,Canadian
10.587334,9.191994,Canadian
10.790503,9.127908,Canadian
10.810249,9.283792,Canadian
10.473018,8.661986,Canadian
10.415168,9.115783,Canadian
10.522728,9.039573,Canadian
10.240924,8.66545,Canadian
10.742352,9.041305,Canadian
10.829128,9.19719,Canadian
10.617991,9.19719,Canadian
10.900662,9.510691,Canadian
10.739235,9.193726,Canadian
10.580406,8.739928,Canadian
10.719316,8.965095,Canadian
10.161596,8.745125,Canadian
10.365112,8.757249,Canadian
10.67844,9.127908,Canadian
10.84489,9.245687,Canadian
