@relation seeds-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N3-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute Class {Kama,Rosa,Canadian}

@data
11.490425,9.041305,27.939712,Kama
11.14592,8.584044,27.299026,Kama
10.731787,8.357145,26.318512,Kama
10.77249,8.322504,25.522635,Kama
11.364678,8.963363,29.520035,Kama
10.879184,8.584044,26.457249,Kama
11.15943,9.039573,26.967858,Kama
10.931146,8.660254,25.982667,Kama
11.999128,10.179263,30.31903,Kama
11.729448,9.583437,30.012976,Kama
11.40313,9.204118,27.937287,Kama
10.942404,8.661986,25.824185,Kama
10.958685,8.206457,25.596247,Kama
11.00701,8.438552,25.384763,Kama
11.009608,8.357145,25.312883,Kama
10.825837,8.280935,26.828255,Kama
10.45691,8.280935,25.821933,Kama
11.141936,8.739928,28.744769,Kama
10.600671,8.052304,27.046493,Kama
10.556157,8.511298,23.536146,Kama
11.286736,8.965095,26.012632,Kama
11.071615,9.039573,25.949932,Kama
11.287429,8.817871,29.061734,Kama
10.332376,8.592704,22.423823,Kama
11.526279,8.661986,27.497519,Kama
11.635744,9.191994,29.574594,Kama
10.841079,8.357145,24.047967,Kama
10.827742,8.433355,23.549656,Kama
11.124962,8.726072,25.966906,Kama
11.044249,8.828263,24.78634,Kama
10.946908,8.757249,24.294091,Kama
11.482458,9.055162,28.340508,Kama
11.379401,9.178137,25.881862,Kama
11.185238,8.681039,25.656522,Kama
11.414042,9.283792,27.587932,Kama
11.447124,9.427553,29.479505,Kama
11.603701,9.573045,29.571996,Kama
11.673849,9.498567,31.155957,Kama
11.324668,9.195458,27.16254,Kama
10.897024,8.661986,26.282832,Kama
10.79951,8.968559,24.98847,Kama
10.801415,8.965095,24.915897,Kama
10.459682,8.284399,24.354193,Kama
11.706931,9.574777,28.374456,Kama
11.219532,8.972023,27.727709,Kama
10.834671,8.592704,25.425467,Kama
11.409192,8.888885,28.139071,Kama
11.186104,8.963363,27.502022,Kama
11.131717,8.852512,27.144527,Kama
11.337312,9.268204,27.241002,Kama
11.189221,8.909669,26.509211,Kama
11.373165,8.895813,28.877271,Kama
11.377495,9.346146,26.576241,Kama
11.062782,9.048233,26.349862,Kama
11.42582,9.503763,26.631494,Kama
11.375763,9.420624,27.532333,Kama
10.859612,8.736464,26.572777,Kama
10.885247,8.812675,27.402083,Kama
11.340949,9.044769,28.173019,Kama
10.389187,7.827138,22.428672,Kama
10.17805,7.979558,21.28396,Kama
10.021646,8.145835,20.982063,Kama
10.337399,7.976094,22.953657,Kama
10.847834,8.812675,24.401132,Kama
10.623707,8.282667,23.645265,Kama
10.438897,7.979558,23.846702,Kama
11.262834,8.920062,26.348996,Kama
11.208967,8.888885,25.759926,Kama
11.157178,9.179869,26.400958,Kama
10.838828,8.776301,23.513975,Kama
12.225334,10.496228,32.038263,Rosa
11.882388,10.179263,30.661283,Rosa
11.871996,10.030306,31.412993,Rosa
12.231916,10.529137,34.672366,Rosa
11.94353,10.116909,30.654874,Rosa
11.762011,10.037234,30.542638,Rosa
11.992547,10.257205,31.48851,Rosa
12.912958,11.17346,37.388568,Rosa
12.678612,11.019307,34.320587,Rosa
11.672637,9.952364,31.192849,Rosa
11.703987,10.184459,30.158988,Rosa
11.957559,10.182727,33.978853,Rosa
12.426425,10.716198,36.527912,Rosa
12.57798,10.865155,35.416802,Rosa
12.546976,10.712734,35.313052,Rosa
12.228279,10.733519,33.180897,Rosa
12.091273,10.581098,34.254596,Rosa
12.831032,11.254866,34.362156,Rosa
12.94171,10.792409,38.241777,Rosa
12.735943,10.948293,37.729436,Rosa
12.913478,11.169996,36.329073,Rosa
12.246292,10.484104,34.049348,Rosa
12.405987,10.484104,34.12244,Rosa
12.026668,10.179263,33.769102,Rosa
13.00978,11.168264,33.264382,Rosa
12.130937,10.335147,30.717575,Rosa
12.509737,10.804533,34.972704,Rosa
12.674628,11.176924,34.378957,Rosa
12.357663,10.865155,32.967335,Rosa
12.297561,10.560314,33.949928,Rosa
11.439503,9.730661,29.95859,Rosa
11.759239,10.109981,32.717054,Rosa
12.144274,10.407893,35.261956,Rosa
12.54126,10.788944,34.730563,Rosa
12.351081,10.648648,34.35159,Rosa
12.00086,10.182727,34.158986,Rosa
12.224122,10.738715,34.217703,Rosa
11.973667,10.269329,32.06026,Rosa
13.07733,11.344933,36.052984,Rosa
12.192772,10.208707,33.665006,Rosa
12.122797,10.035502,33.5015,Rosa
12.426772,10.331683,35.0768,Rosa
12.274178,10.260669,34.69904,Rosa
12.351601,10.484104,34.662147,Rosa
12.901873,10.939633,37.855529,Rosa
12.646396,10.674629,34.546446,Rosa
12.052822,9.959292,34.411866,Rosa
12.35645,10.712734,34.708566,Rosa
12.345712,10.333415,34.278671,Rosa
12.772316,10.946561,36.219088,Rosa
12.478906,10.71793,36.597714,Rosa
12.013851,10.411357,32.938757,Rosa
11.467562,9.877886,29.494747,Rosa
11.929846,10.22776,33.493879,Rosa
10.858919,8.909669,29.265423,Rosa
12.143235,10.378448,34.034625,Rosa
12.392477,10.568974,33.809285,Rosa
11.913565,10.252009,32.699907,Rosa
12.793793,10.712734,36.431091,Rosa
11.587593,9.80514,31.954779,Rosa
11.933484,10.326487,33.274082,Rosa
12.19052,10.30397,34.353842,Rosa
11.69931,10.037234,28.146865,Rosa
11.621022,10.037234,29.487126,Rosa
11.532514,10.127301,28.478899,Rosa
11.043556,9.420624,28.196055,Rosa
12.165059,10.342075,31.590009,Rosa
11.730661,10.182727,28.444951,Rosa
11.58742,9.962756,28.506092,Rosa
11.703467,10.257205,29.64405,Rosa
10.946561,9.344414,24.106683,Canadian
11.089109,9.422356,24.562732,Canadian
10.82705,9.191994,24.598586,Canadian
10.546804,9.043037,22.664231,Canadian
10.637217,8.968559,21.905939,Canadian
10.558062,9.136568,20.830855,Canadian
10.408759,8.888885,21.241005,Canadian
10.622321,8.663718,23.132924,Canadian
10.79951,9.207582,23.46773,Canadian
10.613488,8.996272,20.093002,Canadian
10.587334,9.191994,21.961711,Canadian
10.790503,9.127908,22.230699,Canadian
10.810249,9.283792,22.678261,Canadian
10.473018,8.661986,20.796041,Canadian
10.415168,9.115783,21.127902,Canadian
10.522728,9.039573,20.81111,Canadian
10.240924,8.66545,21.130327,Canadian
10.742352,9.041305,22.409447,Canadian
10.829128,9.19719,21.75144,Canadian
10.617991,9.19719,21.332457,Canadian
10.900662,9.510691,23.17917,Canadian
10.739235,9.193726,22.292014,Canadian
10.580406,8.739928,22.328906,Canadian
10.719316,8.965095,23.219527,Canadian
10.161596,8.745125,20.777335,Canadian
10.365112,8.757249,22.480807,Canadian
10.67844,9.127908,23.012373,Canadian
10.84489,9.245687,22.506788,Canadian
10.401138,8.888885,21.09482,Canadian
10.26396,8.812675,20.916072,Canadian
10.641547,8.942578,20.505576,Canadian
10.413955,8.584044,21.469636,Canadian
10.270888,8.660254,20.978426,Canadian
10.346405,8.814407,21.195972,Canadian
10.544552,8.980683,20.160898,Canadian
10.115177,8.769373,20.19398,Canadian
10.429544,8.819603,20.950021,Canadian
10.354027,8.596168,20.044851,Canadian
10.43959,8.663718,21.35151,Canadian
10.742699,8.968559,22.612443,Canadian
10.298774,8.357145,21.245335,Canadian
10.576941,8.914866,23.089276,Canadian
10.561873,8.933918,22.599626,Canadian
10.332549,8.894081,21.663625,Canadian
10.996964,9.207582,23.80548,Canadian
