@relation seeds-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N5-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute Class {Kama,Rosa,Canadian}

@data
11.490425,9.041305,27.939712,-26.431095,0,Kama
11.14592,8.584044,27.299026,-25.772916,0,Kama
10.731787,8.357145,26.318512,-24.751006,0,Kama
10.77249,8.322504,25.522635,-23.971583,0,Kama
11.364678,8.963363,29.520035,-27.9553,0,Kama
10.879184,8.584044,26.457249,-24.906891,0,Kama
11.15943,9.039573,26.967858,-25.443826,0,Kama
10.931146,8.660254,25.982667,-24.439237,0,Kama
11.999128,10.179263,30.31903,-28.804005,0,Kama
11.729448,9.583437,30.012976,-28.474915,0,Kama
11.40313,9.204118,27.937287,-26.431095,0,Kama
10.942404,8.661986,25.824185,-24.300673,0,Kama
10.958685,8.206457,25.596247,-24.058186,0,Kama
11.00701,8.438552,25.384763,-23.86766,0,Kama
11.009608,8.357145,25.312883,-23.798378,0,Kama
10.825837,8.280935,26.828255,-25.270621,0,Kama
10.45691,8.280935,25.821933,-24.231391,0,Kama
11.141936,8.739928,28.744769,-27.175877,0,Kama
10.600671,8.052304,27.046493,-25.461147,0,Kama
10.556157,8.511298,23.536146,-22.031686,0,Kama
11.286736,8.965095,26.012632,-24.525839,0,Kama
11.071615,9.039573,25.949932,-24.439237,0,Kama
11.287429,8.817871,29.061734,-27.504967,0,Kama
10.332376,8.592704,22.423823,-20.923174,0,Kama
11.526279,8.661986,27.497519,-25.998083,0,Kama
11.635744,9.191994,29.574594,-28.041903,0,Kama
10.841079,8.357145,24.047967,-22.551302,0,Kama
10.827742,8.433355,23.549656,-22.066327,0,Kama
11.124962,8.726072,25.966906,-24.439237,0,Kama
11.044249,8.828263,24.78634,-23.296083,0,Kama
10.946908,8.757249,24.294091,-22.793789,0,Kama
11.482458,9.055162,28.340508,-26.829467,0,Kama
11.379401,9.178137,25.881862,-24.404596,0,Kama
11.185238,8.681039,25.656522,-24.144788,0,Kama
11.414042,9.283792,27.587932,-26.067365,0,Kama
11.447124,9.427553,29.479505,-27.920659,0,Kama
11.603701,9.573045,29.571996,-28.059223,0,Kama
11.673849,9.498567,31.155957,-29.583428,0,Kama
11.324668,9.195458,27.16254,-25.634352,0,Kama
10.897024,8.661986,26.282832,-24.733686,0,Kama
10.79951,8.968559,24.98847,-23.451968,0,Kama
10.801415,8.965095,24.915897,-23.382686,0,Kama
10.459682,8.284399,24.354193,-22.793789,0,Kama
11.706931,9.574777,28.374456,-26.846788,0,Kama
11.219532,8.972023,27.727709,-26.171288,0,Kama
10.834671,8.592704,25.425467,-23.902301,0,Kama
11.409192,8.888885,28.139071,-26.6043,0,Kama
11.186104,8.963363,27.502022,-25.963442,0,Kama
11.131717,8.852512,27.144527,-25.617031,0,Kama
11.337312,9.268204,27.241002,-25.738275,0,Kama
11.189221,8.909669,26.509211,-24.993493,0,Kama
11.373165,8.895813,28.877271,-27.331762,0,Kama
11.377495,9.346146,26.576241,-25.097416,0,Kama
11.062782,9.048233,26.349862,-24.820288,0,Kama
11.42582,9.503763,26.631494,-25.149378,0,Kama
11.375763,9.420624,27.532333,-26.032724,0,Kama
10.859612,8.736464,26.572777,-25.045455,0,Kama
10.885247,8.812675,27.402083,-25.842198,0,Kama
11.340949,9.044769,28.173019,-26.638941,0,Kama
10.389187,7.827138,22.428672,-20.975135,0,Kama
10.17805,7.979558,21.28396,-19.78002,0,Kama
10.021646,8.145835,20.982063,-19.450931,0,Kama
10.337399,7.976094,22.953657,-21.408148,0,Kama
10.847834,8.812675,24.401132,-22.897712,0,Kama
10.623707,8.282667,23.645265,-22.135609,0,Kama
10.438897,7.979558,23.846702,-22.308814,0,Kama
11.262834,8.920062,26.348996,-24.837609,0,Kama
11.208967,8.888885,25.759926,-24.266032,0,Kama
11.157178,9.179869,26.400958,-24.88957,0,Kama
10.838828,8.776301,23.513975,-22.049007,0,Kama
12.225334,10.496228,32.038263,-30.536056,0,Rosa
11.882388,10.179263,30.661283,-29.167736,0,Rosa
11.871996,10.030306,31.412993,-29.895197,0,Rosa
12.231916,10.529137,34.672366,-33.099491,0,Rosa
11.94353,10.116909,30.654874,-29.133095,0,Rosa
11.762011,10.037234,30.542638,-29.046492,0,Rosa
11.992547,10.257205,31.48851,-29.99912,0,Rosa
12.912958,11.17346,37.388568,-35.870772,0,Rosa
12.678612,11.019307,34.320587,-32.805042,0,Rosa
11.672637,9.952364,31.192849,-29.65271,0,Rosa
11.703987,10.184459,30.158988,-28.6308,0,Rosa
11.957559,10.182727,33.978853,-32.423991,0,Rosa
12.426425,10.716198,36.527912,-34.987426,0,Rosa
12.57798,10.865155,35.416802,-33.896234,0,Rosa
12.546976,10.712734,35.313052,-33.792311,0,Rosa
12.228279,10.733519,33.180897,-31.644568,0,Rosa
12.091273,10.581098,34.254596,-32.701119,0,Rosa
12.831032,11.254866,34.362156,-32.874324,0,Rosa
12.94171,10.792409,38.241777,-36.684836,0,Rosa
12.735943,10.948293,37.729436,-36.165221,0,Rosa
12.913478,11.169996,36.329073,-34.814221,0,Rosa
12.246292,10.484104,34.049348,-32.493273,0,Rosa
12.405987,10.484104,34.12244,-32.579876,0,Rosa
12.026668,10.179263,33.769102,-32.198825,0,Rosa
13.00978,11.168264,33.264382,-31.800453,0,Rosa
12.130937,10.335147,30.717575,-29.219697,0,Rosa
12.509737,10.804533,34.972704,-33.445901,0,Rosa
12.674628,11.176924,34.378957,-32.874324,0,Rosa
12.357663,10.865155,32.967335,-31.471363,0,Rosa
12.297561,10.560314,33.949928,-32.423991,0,Rosa
11.439503,9.730661,29.95859,-28.422954,0,Rosa
11.759239,10.109981,32.717054,-31.159594,0,Rosa
12.144274,10.407893,35.261956,-33.705709,0,Rosa
12.54126,10.788944,34.730563,-33.220734,0,Rosa
12.351081,10.648648,34.35159,-32.822363,0,Rosa
12.00086,10.182727,34.158986,-32.614517,0,Rosa
12.224122,10.738715,34.217703,-32.649158,0,Rosa
11.973667,10.269329,32.06026,-30.536056,0,Rosa
13.07733,11.344933,36.052984,-34.537093,0,Rosa
12.192772,10.208707,33.665006,-32.129542,0,Rosa
12.122797,10.035502,33.5015,-31.956337,0,Rosa
12.426772,10.331683,35.0768,-33.567145,0,Rosa
12.274178,10.260669,34.69904,-33.134132,0,Rosa
12.351601,10.484104,34.662147,-33.151452,0,Rosa
12.901873,10.939633,37.855529,-36.321105,0,Rosa
12.646396,10.674629,34.546446,-33.012888,0,Rosa
12.052822,9.959292,34.411866,-32.839683,0,Rosa
12.35645,10.712734,34.708566,-33.168773,0,Rosa
12.345712,10.333415,34.278671,-32.71844,0,Rosa
12.772316,10.946561,36.219088,-34.692978,0,Rosa
12.478906,10.71793,36.597714,-35.056708,0,Rosa
12.013851,10.411357,32.938757,-31.419402,0,Rosa
11.467562,9.877886,29.494747,-28.007262,0,Rosa
11.929846,10.22776,33.493879,-31.921696,0,Rosa
10.858919,8.909669,29.265423,-27.695492,0,Rosa
12.143235,10.378448,34.034625,-32.475953,0,Rosa
12.392477,10.568974,33.809285,-32.302748,0,Rosa
11.913565,10.252009,32.699907,-31.142274,0,Rosa
12.793793,10.712734,36.431091,-34.918144,0,Rosa
11.587593,9.80514,31.954779,-30.397492,0,Rosa
11.933484,10.326487,33.274082,-31.69653,0,Rosa
12.19052,10.30397,34.353842,-32.805042,0,Rosa
11.69931,10.037234,28.146865,-26.638941,0,Rosa
11.621022,10.037234,29.487126,-27.989941,0,Rosa
11.532514,10.127301,28.478899,-26.950711,0,Rosa
11.043556,9.420624,28.196055,-26.638941,0,Rosa
12.165059,10.342075,31.590009,-30.068402,0,Rosa
11.730661,10.182727,28.444951,-26.968031,0,Rosa
11.58742,9.962756,28.506092,-27.019993,0,Rosa
11.703467,10.257205,29.64405,-28.111185,0,Rosa
10.946561,9.344414,24.106683,-22.637904,0,Canadian
11.089109,9.422356,24.562732,-23.070917,0,Canadian
10.82705,9.191994,24.598586,-23.105558,0,Canadian
10.546804,9.043037,22.664231,-21.165661,0,Canadian
10.637217,8.968559,21.905939,-20.472841,0,Canadian
10.558062,9.136568,20.830855,-19.41629,0,Canadian
10.408759,8.888885,21.241005,-19.797341,0,Canadian
10.622321,8.663718,23.132924,-21.633315,0,Canadian
10.79951,9.207582,23.46773,-21.997045,0,Canadian
10.613488,8.996272,20.093002,-18.688828,0,Canadian
10.587334,9.191994,21.961711,-20.490161,0,Canadian
10.790503,9.127908,22.230699,-20.80193,0,Canadian
10.810249,9.283792,22.678261,-21.234943,0,Canadian
10.473018,8.661986,20.796041,-19.364328,0,Canadian
10.415168,9.115783,21.127902,-19.676097,0,Canadian
10.522728,9.039573,20.81111,-19.381649,0,Canadian
10.240924,8.66545,21.130327,-19.641456,0,Canadian
10.742352,9.041305,22.409447,-21.009776,0,Canadian
10.829128,9.19719,21.75144,-20.351597,0,Canadian
10.617991,9.19719,21.332457,-19.901264,0,Canadian
10.900662,9.510691,23.17917,-21.719917,0,Canadian
10.739235,9.193726,22.292014,-20.819251,0,Canadian
10.580406,8.739928,22.328906,-20.871212,0,Canadian
10.719316,8.965095,23.219527,-21.737238,0,Canadian
10.161596,8.745125,20.777335,-19.295046,0,Canadian
10.365112,8.757249,22.480807,-20.957815,0,Canadian
10.67844,9.127908,23.012373,-21.546712,0,Canadian
10.84489,9.245687,22.506788,-21.044417,0,Canadian
10.401138,8.888885,21.09482,-19.658777,0,Canadian
10.26396,8.812675,20.916072,-19.468251,0,Canadian
10.641547,8.942578,20.505576,-19.0872,0,Canadian
10.413955,8.584044,21.469636,-20.005187,0,Canadian
10.270888,8.660254,20.978426,-19.520213,0,Canadian
10.346405,8.814407,21.195972,-19.745379,0,Canadian
10.544552,8.980683,20.160898,-18.75811,0,Canadian
10.115177,8.769373,20.19398,-18.706149,0,Canadian
10.429544,8.819603,20.950021,-19.502892,0,Canadian
10.354027,8.596168,20.044851,-18.602226,0,Canadian
10.43959,8.663718,21.35151,-19.883943,0,Canadian
10.742699,8.968559,22.612443,-21.14834,0,Canadian
10.298774,8.357145,21.245335,-19.7627,0,Canadian
10.576941,8.914866,23.089276,-21.581353,0,Canadian
10.561873,8.933918,22.599626,-21.113699,0,Canadian
10.332549,8.894081,21.663625,-20.178392,0,Canadian
10.996964,9.207582,23.80548,-22.326135,0,Canadian
10.708924,8.975487,21.442443,-20.022507,0,Canadian
10.795526,9.269936,21.875455,-20.45552,0,Canadian
10.262747,8.584044,20.346747,-18.896674,0,Canadian
10.302931,8.585776,20.939455,-19.450931,0,Canadian
9.983194,8.303452,19.840296,-18.342418,0,Canadian
10.193119,8.738196,20.384506,-18.931315,0,Canadian
10.301026,8.661986,21.003368,-19.520213,0,Canadian
10.412223,8.888885,22.082782,-20.559443,0,Canadian
10.402004,8.814407,20.170771,-18.74079,0,Canadian
10.565337,8.681039,22.471454,-20.975135,0,Canadian
10.471979,8.511298,23.704847,-22.17025,0,Canadian
10.570013,8.587508,23.67471,-22.15293,0,Canadian
10.747202,8.817871,24.690211,-23.157519,0,Canadian
10.839347,9.060358,23.327433,-21.858481,0,Canadian
10.339304,8.365805,23.653579,-22.100968,0,Canadian
10.530696,8.738196,22.933912,-21.442789,0,Canadian
10.187403,8.218581,23.499946,-21.945084,0,Canadian
10.179263,8.362341,20.867748,-19.364328,0,Canadian
10.514241,8.660254,23.534067,-21.997045,0,Canadian
10.49744,8.661986,22.909316,-21.425468,0,Canadian
10.418805,8.435087,22.63496,-21.113699,0,Canadian
10.37689,8.66545,20.925079,-19.450931,0,Canadian
10.607599,8.757249,24.401651,-22.863071,0,Canadian
10.439243,8.736464,21.983362,-20.507482,0,Canadian
10.585255,8.769373,22.808338,-21.304225,0,Canadian
