@relation seeds-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N7-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute Class {Kama,Rosa,Canadian}

@data
11.490425,9.041305,27.939712,-26.431095,0,11.379574,3.846885,Kama
11.14592,8.584044,27.299026,-25.772916,0,8.821162,1.763228,Kama
10.731787,8.357145,26.318512,-24.751006,0,11.464444,4.674805,Kama
10.77249,8.322504,25.522635,-23.971583,0,10.684155,3.912703,Kama
11.364678,8.963363,29.520035,-27.9553,0,9.745557,2.346929,Kama
10.879184,8.584044,26.457249,-24.906891,0,11.297994,4.264309,Kama
11.15943,9.039573,26.967858,-25.443826,0,13.726676,6.211134,Kama
10.931146,8.660254,25.982667,-24.439237,0,11.793361,4.676537,Kama
11.999128,10.179263,30.31903,-28.804005,0,12.197621,3.533384,Kama
11.729448,9.583437,30.012976,-28.474915,0,11.455784,3.410408,Kama
11.40313,9.204118,27.937287,-26.431095,0,15.566633,7.868707,Kama
10.942404,8.661986,25.824185,-24.300673,0,10.112405,2.973931,Kama
10.958685,8.206457,25.596247,-24.058186,0,13.57235,6.903955,Kama
11.00701,8.438552,25.384763,-23.86766,0,12.35316,5.431711,Kama
11.009608,8.357145,25.312883,-23.798378,0,11.921013,5.078373,Kama
10.825837,8.280935,26.828255,-25.270621,0,13.971934,7.248633,Kama
10.45691,8.280935,25.821933,-24.231391,0,15.755947,9.065554,Kama
11.141936,8.739928,28.744769,-27.175877,0,9.940586,2.769549,Kama
10.600671,8.052304,27.046493,-25.461147,0,9.527492,3.060534,Kama
10.556157,8.511298,23.536146,-22.031686,0,14.111711,7.104872,Kama
11.286736,8.965095,26.012632,-24.525839,0,12.799163,5.32086,Kama
11.071615,9.039573,25.949932,-24.439237,0,12.184631,4.655753,Kama
11.287429,8.817871,29.061734,-27.504967,0,8.586295,1.325192,Kama
10.332376,8.592704,22.423823,-20.923174,0,9.542907,2.450852,Kama
11.526279,8.661986,27.497519,-25.998083,0,10.264653,3.102103,Kama
11.635744,9.191994,29.574594,-28.041903,0,9.223344,1.564042,Kama
10.841079,8.357145,24.047967,-22.551302,0,12.702687,5.842207,Kama
10.827742,8.433355,23.549656,-22.066327,0,11.287082,4.337055,Kama
11.124962,8.726072,25.966906,-24.439237,0,11.968471,4.770068,Kama
11.044249,8.828263,24.78634,-23.296083,0,13.453878,6.115871,Kama
10.946908,8.757249,24.294091,-22.793789,0,8.738023,1.481077,Kama
11.482458,9.055162,28.340508,-26.829467,0,13.453878,5.909757,Kama
11.379401,9.178137,25.881862,-24.404596,0,14.49051,6.789639,Kama
11.185238,8.681039,25.656522,-24.144788,0,10.848181,3.678876,Kama
11.414042,9.283792,27.587932,-26.067365,0,11.450761,3.687536,Kama
11.447124,9.427553,29.479505,-27.920659,0,11.800462,3.931755,Kama
11.603701,9.573045,29.571996,-28.059223,0,12.949851,4.889579,Kama
11.673849,9.498567,31.155957,-29.583428,0,13.04598,5.119942,Kama
11.324668,9.195458,27.16254,-25.634352,0,13.057411,5.390142,Kama
10.897024,8.661986,26.282832,-24.733686,0,18.691599,11.57876,Kama
10.79951,8.968559,24.98847,-23.451968,0,11.912872,4.480815,Kama
10.801415,8.965095,24.915897,-23.382686,0,11.327266,3.895382,Kama
10.459682,8.284399,24.354193,-22.793789,0,10.986571,4.262577,Kama
11.706931,9.574777,28.374456,-26.846788,0,16.206799,8.159691,Kama
11.219532,8.972023,27.727709,-26.171288,0,12.833457,5.417855,Kama
10.834671,8.592704,25.425467,-23.902301,0,9.771538,2.701999,Kama
11.409192,8.888885,28.139071,-26.6043,0,9.721828,2.367713,Kama
11.186104,8.963363,27.502022,-25.963442,0,12.548188,5.123406,Kama
11.131717,8.852512,27.144527,-25.617031,0,12.008481,4.683465,Kama
11.337312,9.268204,27.241002,-25.738275,0,11.453013,3.687536,Kama
11.189221,8.909669,26.509211,-24.993493,0,14.278854,6.884902,Kama
11.373165,8.895813,28.877271,-27.331762,0,17.037664,9.68736,Kama
11.377495,9.346146,26.576241,-25.097416,0,14.996442,7.129121,Kama
11.062782,9.048233,26.349862,-24.820288,0,13.282924,5.764265,Kama
11.42582,9.503763,26.631494,-25.149378,0,10.586814,2.565167,Kama
11.375763,9.420624,27.532333,-26.032724,0,11.269069,3.348054,Kama
10.859612,8.736464,26.572777,-25.045455,0,12.062348,4.853206,Kama
10.885247,8.812675,27.402083,-25.842198,0,9.230792,1.978002,Kama
11.340949,9.044769,28.173019,-26.638941,0,10.973061,3.46237,Kama
10.389187,7.827138,22.428672,-20.975135,0,8.975141,2.60154,Kama
10.17805,7.979558,21.28396,-19.78002,0,11.152156,4.676537,Kama
10.021646,8.145835,20.982063,-19.450931,0,10.544725,3.930023,Kama
10.337399,7.976094,22.953657,-21.408148,0,12.007789,5.577204,Kama
10.847834,8.812675,24.401132,-22.897712,0,14.50939,7.200135,Kama
10.623707,8.282667,23.645265,-22.135609,0,8.809903,2.036892,Kama
10.438897,7.979558,23.846702,-22.308814,0,10.515454,4.073783,Kama
11.262834,8.920062,26.348996,-24.837609,0,9.682857,2.274183,Kama
11.208967,8.888885,25.759926,-24.266032,0,11.234948,3.839957,Kama
11.157178,9.179869,26.400958,-24.88957,0,10.204204,2.535722,Kama
10.838828,8.776301,23.513975,-22.049007,0,13.430668,6.119336,Kama
12.225334,10.496228,32.038263,-30.536056,0,16.053859,7.059839,Rosa
11.882388,10.179263,30.661283,-29.167736,0,16.783053,8.097338,Rosa
11.871996,10.030306,31.412993,-29.895197,0,16.374289,7.861779,Rosa
12.231916,10.529137,34.672366,-33.099491,0,14.041563,5.085301,Rosa
11.94353,10.116909,30.654874,-29.133095,0,15.53026,6.935131,Rosa
11.762011,10.037234,30.542638,-29.046492,0,17.062779,8.52169,Rosa
11.992547,10.257205,31.48851,-29.99912,0,15.391177,6.623362,Rosa
12.912958,11.17346,37.388568,-35.870772,0,17.365022,7.709358,Rosa
12.678612,11.019307,34.320587,-32.805042,0,18.274868,8.771105,Rosa
